,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
325,just dumating pilipinas ngayong umaga huwebes dagdag milyong doses covid vaccine sinova,0.0,0.0,neutral,0.0,1.0,0.0,0.0
330,vaccine czar carlito galvez announces million moderna doses donated united states will arrive,0.0,0.0,positive,,,,
331,another sinovac doses arrive covid19vaccineph,0.0,0.0,neutral,0.0,1.0,0.0,0.0
332,just plane carrying million doses sinovac vaccine safely lands naia terminal amidst rainy weather,0.5,0.5,positive,,,,
333,abscbnnews more than million covid19vaccineph doses have already been administered philippines accor,0.5,0.5,neutral,0.0,1.0,0.0,0.0
334,abscbnnews nearly covid vaccine doses administered people fully vaccinated palace,0.1,0.4,neutral,0.0,1.0,0.0,0.0
343,duque million covid doses million first jabs million jabs administered date,0.25,0.3333333333333333,neutral,0.0,1.0,0.0,0.0
346,more than million covid19vaccineph doses have already been administered philippines according mala,0.5,0.5,neutral,0.0,1.0,0.0,0.0
348,dizon adds national capital region surpassed daily vaccination target with around,0.0,0.0,neutral,0.0,1.0,0.0,0.0
365,another million covid vaccine doses from chinese drug maker sinovac arrived philippines thursday morning,0.0,0.0,neutral,0.0,1.0,0.0,0.0
428,dizon adds national capital region surpassed daily vaccination target with arou,0.0,0.0,negative,0.0,1.0,0.0,0.0
429,deputy chief implementer vince dizon announces that july philippines already admi,0.0,0.0,neutral,0.0,1.0,0.0,0.0
431,single dose vaccines will used inoculate those belong priority groups,-0.07142857142857142,0.21428571428571427,neutral,0.0,1.0,0.0,0.0
432,duque million covid doses million first jabs million jabs administered,0.25,0.3333333333333333,neutral,0.0,1.0,0.0,0.0
453,another million covid vaccine doses from chinese drug maker sinovac arrived philippines thursday morn,0.0,0.0,positive,0.0,1.0,0.0,0.0
462,vaccine czar carlito galvez announces million moderna doses donated united states will,0.0,0.0,neutral,0.0,1.0,0.0,0.0
463,look plane carrying million doses sinovac vaccine safely lands naia terminal amidst rainy weather this,0.5,0.5,neutral,0.0,1.0,0.0,0.0
470,just dumating pilipinas ngayong umaga huwebes dagdag milyong doses covid vaccine,0.0,0.0,neutral,0.0,1.0,0.0,0.0
476,just plane carrying million doses sinovac vaccine safely lands naia terminal amidst rainy weath,0.5,0.5,neutral,0.0,1.0,0.0,0.0
479,look plane carrying million doses sinovac vaccine safely lands naia terminal amidst rainy weather,0.5,0.5,positive,,,,
496,tingnan mahaba pila nais magpabakuna andres sports complex maynila ilan kanila nakap,-0.3,0.4,neutral,0.0,1.0,0.0,0.0
503,janssenvaccin janssen fullyvaccinated resbakuna vaccinated johnsonandjohnson,0.0,0.0,neutral,0.0,1.0,0.0,0.0
504,they done fully vaccinated finally janssenvaccin janssen resbakuna vaccinated covidvaccines,0.0,1.0,positive,0.0,1.0,0.0,0.0
505,fully vaxed send tiyan altervaccination altercovid altercovid19 resbakuna alterph alterdaddy,0.0,0.0,neutral,0.0,1.0,0.0,0.0
506,fully vaxxed thanks antips bakunadoantipolo resbakuna,0.2,0.2,neutral,0.0,1.0,0.0,0.0
507,health landscape country continues improve with continuous arrival covid vaccines,0.0,0.0,positive,,,,
508,dose vaccine done resbakuna sinovac vaccine covidvaccine,0.0,0.0,neutral,0.0,1.0,0.0,0.0
509,bida bakunation resbakuna pcms christian teneza other personnel under supervision pltcol benson macli,-0.0625,0.1875,neutral,0.0,1.0,0.0,0.0
510,senior magpapabakuna janssen maaari kayong magpa schedule magwalk,0.0,0.0,negative,0.0,1.0,0.0,0.0
511,done looking forward seeing fully vaccinated well fwendz resbakuna,0.0,0.0,positive,,,,
512,sona sona2021 stateofthenationaddress covid19ph covid19vaccines resbakuna letranfourthestate,0.0,0.0,neutral,0.0,1.0,0.0,0.0
513,tandaan suportahan lamang approved bakuna laban covid para kumpletong proteksyon resbakuna bidabakun,0.0,0.0,positive,,,,
514,dose dose best talaga country club haha magpabakuna laban covid19,0.6,0.3,positive,,,,
516,cinemas shot second dose smcinematour resbakuna iloilopabakunata,0.0,0.0,neutral,0.0,1.0,0.0,0.0
517,resbakuna pulisngpilipino weserveandprotect pnpkakampimo,0.0,0.0,neutral,0.0,1.0,0.0,0.0
521,realize world protected from covid this number jabs administered last july 2021 recor,0.0,0.06666666666666667,positive,,,,
522,para matatag pagsasama resbakuna resbakuna kasangga bida sama sama tayo bidabakunation,0.0,0.0,neutral,0.0,1.0,0.0,0.0
523,dahil hypertension resbakuna para dagdag proteksyon resbakuna kasangga bida sama sama,0.0,0.0,neutral,0.0,1.0,0.0,0.0
524,resbakuna kasanggangbida pulisngpilipino weserveandprotect pnpkakampimo,0.0,0.0,neutral,0.0,1.0,0.0,0.0
526,done first dose sinovacvaccine covid19 resbakuna tayo resbakuna vacctothefuture covidvacccine,0.25,0.3333333333333333,neutral,0.0,1.0,0.0,0.0
528,vaccinated resbakuna vaccinated johnsonandjohnson,0.0,0.0,neutral,0.0,1.0,0.0,0.0
529,dose done aztrazeneca side effect real astrazeneca covidvaccine resbakuna,0.2,0.30000000000000004,neutral,0.0,1.0,0.0,0.0
531,mine resbakuna altermisocc johnson johnson,0.0,0.0,neutral,0.0,1.0,0.0,0.0
532,with total vaccine doses administered philippines remained vaccination administration among,0.0,0.75,neutral,0.0,1.0,0.0,0.0
533,philippines this your covid shot part bida bakunation resbakuna,0.0,0.0,neutral,0.0,1.0,0.0,0.0
537,philippine cross bakuna centers continue full speed vaccination program read more,0.2833333333333333,0.35000000000000003,neutral,0.0,1.0,0.0,0.0
538,finally fully vaccinated ligtasnabalikeskwela resbakuna,0.0,1.0,neutral,0.0,1.0,0.0,0.0
539,fully vaxxed mandavax resbakuna astrazenica,0.0,0.0,neutral,0.0,1.0,0.0,0.0
541,more more wanting together this pandemic resbakuna,0.5,0.5,neutral,0.0,1.0,0.0,0.0
542,with total vaccine doses administered philippines remained vaccination administrat,0.0,0.75,neutral,0.0,1.0,0.0,0.0
543,away from usual assessements htau today team volunteers hta4uhc htaphilippines,-0.25,0.25,neutral,0.0,1.0,0.0,0.0
544,cebu city area question vaccination center pwede maka walk then asikaso dayun register,-0.1,0.1,neutral,0.0,1.0,0.0,0.0
545,salamat abby vaccinated nanay matagal namin siyang nakumbinsi kaya kami nagagalak prot,0.0,0.0,neutral,0.0,1.0,0.0,0.0
546,bidabakunation resbakuna,0.0,0.0,neutral,0.0,1.0,0.0,0.0
548,guess what just just today vaccine only 1stdose manilavax astrazeneca resbakuna,0.0,1.0,neutral,0.0,1.0,0.0,0.0
549,bida bakunation resbakuna pcms christian teneza other personnel under supervision pltcol benson,-0.0625,0.1875,neutral,0.0,1.0,0.0,0.0
551,inilahad washington surigao city federation president kent john kahalagahan community radio broad,0.0625,0.3125,neutral,0.0,1.0,0.0,0.0
552,mobile vaccination team surigao city para gustong magpabakuna ngunit hindi makapunta vaccination,0.0,0.0,neutral,0.0,1.0,0.0,0.0
553,tandaan suportahan lamang approved bakuna laban covid para kumpletong proteksyon resbakuna,0.0,0.0,positive,,,,
554,gaano karami target lokal pamahalaan surigao city mabakunahan araw araw basahin sagot mayor,0.0,0.0,neutral,0.0,1.0,0.0,0.0
555,pinaalalahanan pangulong duterte ayaw magpabakuna nilalagay nila kanilang sarili pamilya,0.0,0.0,neutral,0.0,1.0,0.0,0.0
556,look chief implementer vaccine czar secretary carlito galvez expressed optimism that will achieve popula,0.0,0.0,positive,,,,
558,this year philippines secured total million covid vaccine doses resbakuna,0.0,0.75,positive,,,,
559,nagtutulungan lgus healthcare workers pagpapalaganap kahalagahan kaligtasan covid vaccine,0.0,0.0,neutral,0.0,1.0,0.0,0.0
560,look arrival million doses sinovac vaccines ninoy aquino international airport naia terminal,0.0,0.0,neutral,0.0,1.0,0.0,0.0
561,panawagan pangulong rodrigo duterte mamamayan maniwala importansya bakuna resbakuna,0.0,0.0,neutral,0.0,1.0,0.0,0.0
562,hinikayat federation president dheno estrada taga sagay camiguin magpabakuna resbakuna,0.0,0.0,neutral,0.0,1.0,0.0,0.0
563,maayos naipaliwanag sagay camiguin mayor joseph uayan kanyang kababayan kabutihang dulot bakun,0.0,0.0,neutral,0.0,1.0,0.0,0.0
564,mismong mayor joseph uayan katulong punong barangay sagay camiguin upang makapamahagi tamang impo,0.0,0.0,neutral,0.0,1.0,0.0,0.0
565,nilabanan covid vaccine disinformation sagay camiguin resbakuna bidabakunation bidasolusyon,0.0,0.0,neutral,0.0,1.0,0.0,0.0
566,kahalagahan bakuna ipinalaganap kabataan sagay camiguin resbakuna bidabakunation bidasolusyon,0.0,0.0,neutral,0.0,1.0,0.0,0.0
567,ginamit sagay camiguin mayor pagiging nurse para maipaintindi kaligtasan covid vaccine,0.0,0.0,neutral,0.0,1.0,0.0,0.0
568,covid vaccines aasahang pabababain cases malaysia resbakuna bidabakunation bidasolusyon,0.0,0.0,neutral,0.0,1.0,0.0,0.0
569,watch another batch million government procured sinovac anti covid vaccine doses arrived country thursd,0.0,0.0,negative,,,,
570,july total anti covid shots have been administered this number filipinos have,0.0,0.75,negative,,,,
572,martin andanar highlighted anew significant role media workers spreading correct timely information upda,0.375,0.875,positive,,,,
573,watch more than 500k doses government procured pfizer biontech anti covid vaccines arrived philippines wedn,0.5,0.5,neutral,0.0,1.0,0.0,0.0
575,pcoo secretary martin andanar reiterated civic duty local radio news reporters allow their programs,0.0,0.0,positive,,,,
576,nagbigay naman money gcash hahaha labyu also fully vaccinated akoooo resbakuna vaccineswork vaccinessavelives,0.2,0.4,positive,,,,
578,pinaalalahanan pangulong duterte ayaw magpabakuna nilalagay nila kanilang sarili pamilya nakakas,0.0,0.0,neutral,0.0,1.0,0.0,0.0
579,friends living manila would want vaccinated kindly register link down below,0.2222222222222222,0.5944444444444444,positive,,,,
580,look with total doses vaccine administered philippines ranks 25th countries globally 10th,0.0,0.375,neutral,0.0,1.0,0.0,0.0
581,severe case dulot delta variant naaagapan kapag nabakunahan resbakuna bidabakunation bidasolusyon explainexplaine,0.0,0.0,negative,,,,
585,sana tigilan nonesense clearance vaccination kawawa pasyente sunod lang kayo,0.0,0.0,neutral,0.0,1.0,0.0,0.0
586,kabila ating nakikitang pagbaba kaso covid huwag tayong maging kapante ituloy lamang pagsunod mini,0.0,0.0,neutral,0.0,1.0,0.0,0.0
587,talk people 2021 president encouraged local government leaders incorporate technology,0.0,0.0,positive,,,,
588,mrna covid vaccines safe other vaccines covid19vaccine caduceus resbakuna bidabakunation,0.1875,0.4375,positive,,,,
589,alamin ikaw isang manggagawa gobyerno pribadong kumpanya self employed kasama priority group,0.0,0.0,neutral,0.0,1.0,0.0,0.0
590,severe case dulot delta variant naaagapan kapag nabakunahan resbakuna bidabakunation bidasolusyon,0.0,0.0,negative,,,,
591,vaccine resbakuna vaccineswork kathni,0.0,0.0,neutral,0.0,1.0,0.0,0.0
592,second dose fully vaxxed vaks overusedcaption yourselves vaccinated have chance help,0.0,0.0,positive,,,,
593,resbakuna naging nagavax haha sabi pduts dati mamalengke mema namn,0.2,0.3,positive,,,,
594,selfcaresabado mahalagang parte ating self care routine panatilihing ligtas malusog sarili lalo ngayong,0.0,0.0,positive,,,,
595,madumb mama leni pala proponent covid vaccine ngayon kailan creditgrabqueen,0.0,0.0,neutral,0.0,1.0,0.0,0.0
596,love company knows pero dioskoh bagal rollout vaccine with delta variant lurking,0.5,0.6,neutral,0.0,1.0,0.0,0.0
598,covid19 fullyvaxxed thank very much mandavaxx resbakuna your generosity care,0.26,0.26,positive,,,,
599,president rodrigo duterte inspects clark international airport passenger terminal building,0.0,0.0,neutral,0.0,1.0,0.0,0.0
601,resbakuna todo todo 2021 hahahahahaha,0.0,0.0,neutral,0.0,1.0,0.0,0.0
604,tita with kathniel happy happy,0.8,1.0,positive,,,,
606,dose done pabakuna kayo vaccineswork resbakuna,0.0,0.0,neutral,0.0,1.0,0.0,0.0
609,navobakuna tala ating city health office nakatanggap first dose covid vaccine,0.25,0.3333333333333333,neutral,0.0,1.0,0.0,0.0
613,tignan nasa nabakunahan bataan kanila tumanggap second dose resbakuna,0.0,0.0,neutral,0.0,1.0,0.0,0.0
614,dahil batang sanay tayo mahahabang pila brings back good memories college years resbakuna,0.35,0.30000000000000004,positive,,,,
618,vaccines work ayon anne patunay epektibo bakuna para maiwasan severe covid,0.0,0.0,negative,,,,
619,chat parehos sila duwa alam witty make laugh laugh laugh,0.35000000000000003,0.32500000000000007,positive,,,,
620,with covid cased rising plus delta variant best stay safe sugboanons when going outside follow safet,0.5,0.2833333333333334,positive,,,,
624,resbakuna weserveandprotect pnpkakampimo zcps11striveforexcellence,0.0,0.0,neutral,0.0,1.0,0.0,0.0
627,nagpabakuna iyong kaibigan kapamilya importanteng iparamdam natin kanila mahal natin sila kaya,0.0,0.0,neutral,0.0,1.0,0.0,0.0
628,vaccinated today super biglaan like pinagdrive lang jowa since navaccine,0.3333333333333333,0.6666666666666666,positive,,,,
631,kaya dumami yung nagpa vaccine aldub lang sakalam resbakuna vaccineswork dabarkads magpabakuna,0.0,0.0,neutral,0.0,1.0,0.0,0.0
634,kung anong meron ipaturok resbakuna firstdose,0.0,0.0,neutral,0.0,1.0,0.0,0.0
637,gusto ipakita akon butkon while gpapicture resbakuna poster caption dayon first,0.25,0.3333333333333333,neutral,0.0,1.0,0.0,0.0
638,bakuna benefits best deals perks promos vaccinated foodies cheapeats foodie foodp,1.0,0.3,positive,,,,
639,ready zombie janssen resbakuna,0.2,0.5,positive,,,,
640,first dose covid vaccine will this coming monday couldn happier resbakuna,0.25,0.3333333333333333,positive,,,,
641,done thankful grateful would thought that will getting covid shots khun birthday,0.0,0.0,positive,,,,
642,para kumpletong pamilya resbakuna resbakuna kasangga bida sama sama tayo bidabakunation,0.0,0.0,neutral,0.0,1.0,0.0,0.0
643,resbakuna bidasolusyon plus covid bidaangmaydisiplina explainexplainexplain,0.0,0.0,neutral,0.0,1.0,0.0,0.0
644,kahit heart condition kayang kaya labanan covid resbakuna para dagdag proteksyon,0.0,0.0,neutral,0.0,1.0,0.0,0.0
646,selfcaresabado mahalagang parte ating self care routine panatilihing ligtas malusog sarili lalo,0.0,0.0,positive,,,,
652,look july philippines received total doses covid vaccines resbakuna bidabakunatio,0.0,0.75,neutral,0.0,1.0,0.0,0.0
653,look july philippines received total doses covid vaccines resbakuna,0.0,0.75,neutral,0.0,1.0,0.0,0.0
655,hagya pumayag bakuna erpats pang away kami niyan jansean resbakuna zerocovid,0.0,0.0,neutral,0.0,1.0,0.0,0.0
657,wehealasone weriseasone resbakuna kudos these celebs maging isabel daza,0.0,0.0,positive,,,,
658,this sign looking vaccine please grab that chance time,0.0,0.0,positive,,,,
662,thank johnson johnsons resbakuna fullyvaccinated onedose johnsonandjohnsons fightcovid19,0.0,0.0,positive,,,,
663,finally parents vaccinated today cv19 couldn happier thank caloocan city thank,0.0,1.0,positive,,,,
666,when there opportunity vaccination grab guysess thank lord this resbakuna gethejab,0.0,0.0,positive,,,,
680,johnson johnson janssen vaccines single dose covid19vaccines fullyvaccinated resbakuna bidabakunation,-0.07142857142857142,0.21428571428571427,neutral,0.0,1.0,0.0,0.0
681,grabe makahappy makaproud vaccination program diris salvador city ayyy paspas distribution daghan,0.0,0.0,neutral,0.0,1.0,0.0,0.0
684,look chief implementer vaccine czar secretary carlito galvez expressed optimism that will achieve,0.0,0.0,positive,,,,
686,nagpabakuna iyong kaibigan kapamilya importanteng iparamdam natin kanila mahal natin,0.0,0.0,neutral,0.0,1.0,0.0,0.0
687,malaki pasasalamat surigao city mayor ernesto matugas doktor mula pribadong ospital dahil,0.0,0.0,neutral,0.0,1.0,0.0,0.0
688,realize world protected from covid this number jabs administered last july,0.0,0.06666666666666667,positive,,,,
689,dose davao city hall justice tenants employees davao city chapter members davao city,0.0,0.0,positive,,,,
691,biraki bakunado resbakuna,0.0,0.0,neutral,0.0,1.0,0.0,0.0
692,resbakuna kasangga bida sama sama tayo bidabakunation bidasolusyon plus covid teampnp weserveandprot,0.0,0.0,neutral,0.0,1.0,0.0,0.0
696,fully vaccinated tetah niyooooo resbakuna covidvaccine,0.0,0.0,neutral,0.0,1.0,0.0,0.0
697,this really trust will fight this admin when comes welfare,0.2,0.2,positive,,,,
698,just first dose sputnik pain resbakuna bakunamakati sputnikv vaccine covid19 makati,0.25,0.3333333333333333,negative,,,,
699,bakuna kontra rito tulong kira tayong homeliners naman tutulong ating kapwa resbakuna bidasolu,0.0,0.0,neutral,0.0,1.0,0.0,0.0
705,resbakuna bakunamakati vaccine covid19 makati coliseum,0.0,0.0,neutral,0.0,1.0,0.0,0.0
706,tingnan noon ngayon tuwing family reunion resbakuna bidabakunation bidaangmaydisiplina bidasolusyon,0.0,0.0,neutral,0.0,1.0,0.0,0.0
707,number jabs administered last july 2021 record high national vaccination campaign,0.08,0.3033333333333333,positive,,,,
708,bakuna benefits best deals perks promos vaccinated foodies cheapeats foodie,1.0,0.3,positive,,,,
711,sinovaxxed resbakuna,0.0,0.0,neutral,0.0,1.0,0.0,0.0
716,bakuna kontra rito tulong kira tayong homeliners naman tutulong ating kapwa resbakuna,0.0,0.0,neutral,0.0,1.0,0.0,0.0
717,kapitan this deserves best vaccine vaccine available sana lahat celebs ganito,0.7,0.35,neutral,0.0,1.0,0.0,0.0
718,finally fully vaccinated resbakuna latepost hoops dome lapu lapu city,0.0,1.0,neutral,0.0,1.0,0.0,0.0
719,navobakuna tala ating city health office nakatanggap first dose covid vaccine bilang,0.25,0.3333333333333333,neutral,0.0,1.0,0.0,0.0
724,first only dose wrong choice shorts resbakuna,-0.08333333333333333,0.7444444444444445,negative,,,,
733,road herd immunity vaccinator resbakuna,0.0,0.0,neutral,0.0,1.0,0.0,0.0
734,resbakuna kasangga bida sama sama tayo bidabakunation bidasolusyon plus covid teampnp,0.0,0.0,neutral,0.0,1.0,0.0,0.0
737,kudos charlie galvez salamat duterte administration dutertepalakpak dutert,0.0,0.0,positive,,,,
741,after resbakuna nasad nationalid book your appointments soonest,0.0,0.0,neutral,0.0,1.0,0.0,0.0
749,watch another batch million government procured sinovac anti covid vaccine doses arrived country,0.0,0.0,neutral,0.0,1.0,0.0,0.0
750,look second philippine information agency employees getting their second dose covid vaccine quezon city,0.0,0.0,neutral,0.0,1.0,0.0,0.0
751,fully vaccinated pfizerbiontech resbakuna,0.0,0.0,neutral,0.0,1.0,0.0,0.0
752,okay happening vaccine working resbakuna,0.5,0.5,positive,,,,
756,first last dose read right dose only johnson johnson janssen vaccine fully,0.13392857142857142,0.48392857142857143,neutral,0.0,1.0,0.0,0.0
777,vaccinated salamat johnson resbakuna,0.0,0.0,neutral,0.0,1.0,0.0,0.0
778,very good taga bacolod kamadu gusto vaccine good bacolodnons resbakuna getvaccinate,0.8049999999999999,0.6900000000000002,positive,,,,
779,tignan nasa nabakunahan zambales kanila tumanggap second dose resbakuna,0.0,0.0,positive,0.0,1.0,0.0,0.0
782,shot alternaga resbakuna firstdose,0.0,0.0,neutral,0.0,1.0,0.0,0.0
787,july total anti covid shots have been administered this number filipino,0.0,0.75,negative,,,,
788,dose done resbakuna astra vista mall dasmari cavite,0.0,0.0,neutral,0.0,1.0,0.0,0.0
789,dahil hypertension resbakuna para dagdag proteksyon resbakuna kasangga bida,0.0,0.0,neutral,0.0,1.0,0.0,0.0
791,fully vaccinated resbakuna covidlife anticovid pfizer village banos laguna,0.0,0.0,positive,0.0,1.0,0.0,0.0
792,navobakuna narito listahan mababakunahan doses bukas senior,0.0,0.0,neutral,0.0,1.0,0.0,0.0
794,thank lord fully vaxx gotvaccinated resbakuna janssen thank naga thanks,0.2,0.2,neutral,0.0,1.0,0.0,0.0
795,yiee resbakuna enahhh hahahaha,0.2,0.5,neutral,0.0,1.0,0.0,0.0
797,resbakuna,0.0,0.0,neutral,0.0,1.0,0.0,0.0
798,resbakuna july bulletin cordillera regional vaccination operations center reports that july ther,-0.1,0.1,neutral,0.0,1.0,0.0,0.0
803,presidential spokesperson confirms that president duterte second dose sinopharm tonight july,0.0,0.0,neutral,0.0,1.0,0.0,0.0
804,second dose sinovaccinated resbakuna,0.0,0.0,neutral,0.0,1.0,0.0,0.0
805,ingredients covid vaccines safe pnpcovid19vaccine caduceus resbakuna bidabakunation teampnp,0.5,0.5,positive,,,,
806,magpabakuna tayo kahit takot tayo diyos karayom responsible guys,0.2,0.55,neutral,0.0,1.0,0.0,0.0
807,getting vaccinated against covid19 reduces your risk from getting serious illness death vaccinated when,-0.3333333333333333,0.6666666666666666,negative,,,,
809,martin andanar highlighted anew significant role media workers spreading correct timely informati,0.375,0.875,positive,,,,
